Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,2.69,C$2.69,Released,Set was released
1980-01-01 00:00:00,7.47,C$7.47,null,null
1981-01-01 00:00:00,26.24,C$26.24,null,null
1982-01-01 00:00:00,26.68,C$26.68,null,null
1983-01-01 00:00:00,32.74,C$32.74,null,null
1984-01-01 00:00:00,44.17,C$44.17,null,null
1985-01-01 00:00:00,66.93,C$66.93,null,null
1986-01-01 00:00:00,64.05,C$64.05,null,null
1987-01-01 00:00:00,105.37,C$105.37,null,null
1988-01-01 00:00:00,56.99,C$56.99,null,null
1989-01-01 00:00:00,115.71,C$115.71,null,null
1990-01-01 00:00:00,87.68,C$87.68,null,null
1991-01-01 00:00:00,127.62,C$127.62,null,null
1992-01-01 00:00:00,102.95,C$102.95,null,null
1993-01-01 00:00:00,180.86,C$180.86,null,null
1994-01-01 00:00:00,193.12,C$193.12,null,null
1995-01-01 00:00:00,111.73,C$111.73,null,null
1996-01-01 00:00:00,197.61,C$197.61,null,null
1997-01-01 00:00:00,135.86,C$135.86,null,null
1998-01-01 00:00:00,175.02,C$175.02,null,null
1999-01-01 00:00:00,235.21,C$235.21,null,null
2000-01-01 00:00:00,158.52,C$158.52,null,null
2001-01-01 00:00:00,218.43,C$218.43,null,null
2002-01-01 00:00:00,265.4,C$265.40,null,null
2003-01-01 00:00:00,185.05,C$185.05,null,null
2004-01-01 00:00:00,310.84,C$310.84,null,null
2005-01-01 00:00:00,308.19,C$308.19,null,null
2006-01-01 00:00:00,193.72,C$193.72,null,null
2007-01-01 00:00:00,279.3,C$279.30,null,null
2008-01-01 00:00:00,346.35,C$346.35,null,null
2009-01-01 00:00:00,310.01,C$310.01,null,null
2010-01-01 00:00:00,218.28,C$218.28,null,null
2011-01-01 00:00:00,418.0,C$418.00,null,null
2012-01-01 00:00:00,374.97,C$374.97,null,null
2013-01-01 00:00:00,378.75,C$378.75,null,null
2014-01-01 00:00:00,421.21,C$421.21,null,null
2015-01-01 00:00:00,256.4,C$256.40,null,null
2016-01-01 00:00:00,271.47,C$271.47,null,null
2017-01-01 00:00:00,316.57,C$316.57,null,null
2018-01-01 00:00:00,325.94,C$325.94,null,null
2019-01-01 00:00:00,370.45,C$370.45,null,null
2020-01-01 00:00:00,263.41,C$263.41,null,null
2021-01-01 00:00:00,447.25,C$447.25,null,null
2022-01-01 00:00:00,369.78,C$369.78,null,null
2023-01-01 00:00:00,342.94,C$342.94,null,null
2024-01-01 00:00:00,489.26,C$489.26,null,null
2024-02-28 00:00:00,449.23,C$449.23,Today,Today\
2024-08-28 00:00:00,467.28,C$467.28,Estimate,Estimated value of this set
2025-08-28 00:00:00,467.28,C$467.28,null,null
2026-02-28 00:00:00,467.28,C$467.28,null,null
