Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,4.04,C$4.04,Released,Set was released
1982-01-01 00:00:00,19.34,C$19.34,null,null
1984-01-01 00:00:00,76.33,C$76.33,null,null
1986-01-01 00:00:00,80.51,C$80.51,null,null
1988-01-01 00:00:00,100.54,C$100.54,null,null
1990-01-01 00:00:00,137.1,C$137.10,null,null
1992-01-01 00:00:00,209.05,C$209.05,null,null
1994-01-01 00:00:00,201.08,C$201.08,null,null
1996-01-01 00:00:00,331.98,C$331.98,null,null
1998-01-01 00:00:00,180.09,C$180.09,null,null
2000-01-01 00:00:00,366.36,C$366.36,null,null
2002-01-01 00:00:00,278.16,C$278.16,null,null
2004-01-01 00:00:00,405.48,C$405.48,null,null
2006-01-01 00:00:00,327.53,C$327.53,null,null
2008-01-01 00:00:00,575.94,C$575.94,null,null
2010-01-01 00:00:00,615.61,C$615.61,null,null
2012-01-01 00:00:00,356.45,C$356.45,null,null
2014-01-01 00:00:00,630.95,C$630.95,null,null
2016-01-01 00:00:00,434.02,C$434.02,null,null
2018-01-01 00:00:00,559.47,C$559.47,null,null
2020-01-01 00:00:00,752.28,C$752.28,null,null
2022-01-01 00:00:00,507.25,C$507.25,null,null
2024-01-01 00:00:00,699.2,C$699.20,null,null
2024-02-28 00:00:00,733.67,C$733.67,Today,Today\
2024-08-28 00:00:00,763.67,C$763.67,Estimate,Estimated value of this set
2025-08-28 00:00:00,763.67,C$763.67,null,null
2026-02-28 00:00:00,763.67,C$763.67,null,null
