Date,Value,Currency Value,Status,Description
1965-01-01 00:00:00,6.68,C$6.68,Released,Set was released
1966-01-01 00:00:00,10.56,C$10.56,null,null
1968-01-01 00:00:00,25.22,C$25.22,null,null
1970-01-01 00:00:00,34.64,C$34.64,null,null
1972-01-01 00:00:00,37.36,C$37.36,null,null
1974-01-01 00:00:00,59.09,C$59.09,null,null
1976-01-01 00:00:00,40.98,C$40.98,null,null
1978-01-01 00:00:00,79.71,C$79.71,null,null
1980-01-01 00:00:00,72.55,C$72.55,null,null
1982-01-01 00:00:00,67.36,C$67.36,null,null
1984-01-01 00:00:00,77.71,C$77.71,null,null
1986-01-01 00:00:00,64.89,C$64.89,null,null
1988-01-01 00:00:00,122.14,C$122.14,null,null
1990-01-01 00:00:00,126.41,C$126.41,null,null
1992-01-01 00:00:00,126.34,C$126.34,null,null
1994-01-01 00:00:00,159.8,C$159.80,null,null
1996-01-01 00:00:00,128.99,C$128.99,null,null
1998-01-01 00:00:00,156.01,C$156.01,null,null
2000-01-01 00:00:00,106.27,C$106.27,null,null
2002-01-01 00:00:00,130.74,C$130.74,null,null
2004-01-01 00:00:00,129.27,C$129.27,null,null
2006-01-01 00:00:00,225.03,C$225.03,null,null
2008-01-01 00:00:00,236.59,C$236.59,null,null
2010-01-01 00:00:00,173.3,C$173.30,null,null
2012-01-01 00:00:00,181.39,C$181.39,null,null
2014-01-01 00:00:00,298.24,C$298.24,null,null
2016-01-01 00:00:00,190.09,C$190.09,null,null
2018-01-01 00:00:00,166.39,C$166.39,null,null
2020-01-01 00:00:00,203.98,C$203.98,null,null
2022-01-01 00:00:00,328.08,C$328.08,null,null
2024-01-01 00:00:00,171.63,C$171.63,null,null
2024-02-28 00:00:00,264.4,C$264.40,Today,Today\
2024-08-28 00:00:00,270.07,C$270.07,Estimate,Estimated value of this set
2025-08-28 00:00:00,270.07,C$270.07,null,null
2026-02-28 00:00:00,270.07,C$270.07,null,null
