Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,6.06,C$6.06,Released,Set was released
1980-01-01 00:00:00,6.35,C$6.35,null,null
1980-07-01 00:00:00,12.36,C$12.36,null,null
1981-01-01 00:00:00,9.27,C$9.27,null,null
1981-07-01 00:00:00,9.34,C$9.34,null,null
1982-01-01 00:00:00,10.98,C$10.98,null,null
1982-07-01 00:00:00,14.97,C$14.97,null,null
1983-01-01 00:00:00,13.21,C$13.21,null,null
1983-07-01 00:00:00,20.34,C$20.34,null,null
1984-01-01 00:00:00,10.43,C$10.43,null,null
1984-07-01 00:00:00,20.22,C$20.22,null,null
1985-01-01 00:00:00,14.74,C$14.74,null,null
1985-07-01 00:00:00,20.73,C$20.73,null,null
1986-01-01 00:00:00,16.25,C$16.25,null,null
1986-07-01 00:00:00,27.8,C$27.80,null,null
1987-01-01 00:00:00,29.02,C$29.02,null,null
1987-07-01 00:00:00,16.44,C$16.44,null,null
1988-01-01 00:00:00,28.55,C$28.55,null,null
1988-07-01 00:00:00,19.3,C$19.30,null,null
1989-01-01 00:00:00,24.5,C$24.50,null,null
1989-07-01 00:00:00,32.46,C$32.46,null,null
1990-01-01 00:00:00,21.6,C$21.60,null,null
1990-07-01 00:00:00,29.41,C$29.41,null,null
1991-01-01 00:00:00,35.36,C$35.36,null,null
1991-07-01 00:00:00,24.4,C$24.40,null,null
1992-01-01 00:00:00,40.62,C$40.62,null,null
1992-07-01 00:00:00,39.92,C$39.92,null,null
1993-01-01 00:00:00,24.9,C$24.90,null,null
1993-07-01 00:00:00,35.61,C$35.61,null,null
1994-01-01 00:00:00,43.86,C$43.86,null,null
1994-07-01 00:00:00,38.99,C$38.99,null,null
1995-01-01 00:00:00,27.28,C$27.28,null,null
1995-07-01 00:00:00,51.93,C$51.93,null,null
1996-01-01 00:00:00,46.33,C$46.33,null,null
1996-07-01 00:00:00,46.55,C$46.55,null,null
1997-01-01 00:00:00,51.52,C$51.52,null,null
1997-07-01 00:00:00,31.2,C$31.20,null,null
1998-01-01 00:00:00,32.89,C$32.89,null,null
1998-07-01 00:00:00,38.18,C$38.18,null,null
1999-01-01 00:00:00,39.16,C$39.16,null,null
1999-07-01 00:00:00,44.33,C$44.33,null,null
2000-01-01 00:00:00,31.41,C$31.41,null,null
2000-07-01 00:00:00,53.13,C$53.13,null,null
2001-01-01 00:00:00,43.78,C$43.78,null,null
2001-07-01 00:00:00,40.47,C$40.47,null,null
2002-01-01 00:00:00,57.56,C$57.56,null,null
2002-07-01 00:00:00,63.96,C$63.96,null,null
2003-01-01 00:00:00,35.46,C$35.46,null,null
2003-07-01 00:00:00,51.34,C$51.34,null,null
2004-01-01 00:00:00,62.99,C$62.99,null,null
2004-07-01 00:00:00,40.07,C$40.07,null,null
2005-01-01 00:00:00,56.52,C$56.52,null,null
2005-07-01 00:00:00,74.67,C$74.67,null,null
2006-01-01 00:00:00,72.11,C$72.11,null,null
2007-01-01 00:00:00,52.04,C$52.04,null,null
2008-01-01 00:00:00,54.59,C$54.59,null,null
2009-01-01 00:00:00,84.41,C$84.41,null,null
2010-01-01 00:00:00,57.62,C$57.62,null,null
2011-01-01 00:00:00,51.47,C$51.47,null,null
2012-01-01 00:00:00,88.78,C$88.78,null,null
2013-01-01 00:00:00,70.7,C$70.70,null,null
2014-01-01 00:00:00,49.24,C$49.24,null,null
2015-01-01 00:00:00,104.67,C$104.67,null,null
2016-01-01 00:00:00,107.71,C$107.71,null,null
2017-01-01 00:00:00,57.14,C$57.14,null,null
2018-01-01 00:00:00,58.99,C$58.99,null,null
2019-01-01 00:00:00,66.72,C$66.72,null,null
2020-01-01 00:00:00,92.84,C$92.84,null,null
2021-01-01 00:00:00,66.88,C$66.88,null,null
2022-01-01 00:00:00,68.11,C$68.11,null,null
2023-01-01 00:00:00,124.38,C$124.38,null,null
2024-01-01 00:00:00,113.05,C$113.05,null,null
2024-02-28 00:00:00,92.23,C$92.23,Today,Today\
2024-08-28 00:00:00,94.15,C$94.15,Estimate,Estimated value of this set
2025-08-28 00:00:00,94.15,C$94.15,null,null
2026-02-28 00:00:00,94.15,C$94.15,null,null
