Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,4.04,C$4.04,Released,Set was released
1980-01-01 00:00:00,10.07,C$10.07,null,null
1982-01-01 00:00:00,52.77,C$52.77,null,null
1984-01-01 00:00:00,59.47,C$59.47,null,null
1986-01-01 00:00:00,76.57,C$76.57,null,null
1988-01-01 00:00:00,106.17,C$106.17,null,null
1990-01-01 00:00:00,163.73,C$163.73,null,null
1992-01-01 00:00:00,158.67,C$158.67,null,null
1994-01-01 00:00:00,263.5,C$263.50,null,null
1996-01-01 00:00:00,143.55,C$143.55,null,null
1998-01-01 00:00:00,293.07,C$293.07,null,null
2000-01-01 00:00:00,223.11,C$223.11,null,null
2002-01-01 00:00:00,326.03,C$326.03,null,null
2004-01-01 00:00:00,263.84,C$263.84,null,null
2006-01-01 00:00:00,464.77,C$464.77,null,null
2008-01-01 00:00:00,497.45,C$497.45,null,null
2010-01-01 00:00:00,288.42,C$288.42,null,null
2012-01-01 00:00:00,511.05,C$511.05,null,null
2014-01-01 00:00:00,351.92,C$351.92,null,null
2016-01-01 00:00:00,454.0,C$454.00,null,null
2018-01-01 00:00:00,610.98,C$610.98,null,null
2020-01-01 00:00:00,412.25,C$412.25,null,null
2022-01-01 00:00:00,568.64,C$568.64,null,null
2024-01-01 00:00:00,691.58,C$691.58,null,null
2024-02-28 00:00:00,593.38,C$593.38,Today,Today\
2024-08-28 00:00:00,616.59,C$616.59,Estimate,Estimated value of this set
2025-08-28 00:00:00,616.59,C$616.59,null,null
2026-02-28 00:00:00,616.59,C$616.59,null,null
