Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,2.69,C$2.69,Released,Set was released
1980-01-01 00:00:00,7.76,C$7.76,null,null
1982-01-01 00:00:00,43.47,C$43.47,null,null
1984-01-01 00:00:00,49.62,C$49.62,null,null
1986-01-01 00:00:00,64.23,C$64.23,null,null
1988-01-01 00:00:00,89.33,C$89.33,null,null
1990-01-01 00:00:00,138.02,C$138.02,null,null
1992-01-01 00:00:00,133.93,C$133.93,null,null
1994-01-01 00:00:00,222.64,C$222.64,null,null
1996-01-01 00:00:00,121.37,C$121.37,null,null
1998-01-01 00:00:00,247.94,C$247.94,null,null
2000-01-01 00:00:00,188.84,C$188.84,null,null
2002-01-01 00:00:00,276.06,C$276.06,null,null
2004-01-01 00:00:00,223.48,C$223.48,null,null
2006-01-01 00:00:00,393.77,C$393.77,null,null
2008-01-01 00:00:00,421.57,C$421.57,null,null
2010-01-01 00:00:00,244.48,C$244.48,null,null
2012-01-01 00:00:00,433.26,C$433.26,null,null
2014-01-01 00:00:00,298.4,C$298.40,null,null
2016-01-01 00:00:00,385.01,C$385.01,null,null
2018-01-01 00:00:00,518.21,C$518.21,null,null
2020-01-01 00:00:00,349.69,C$349.69,null,null
2022-01-01 00:00:00,482.4,C$482.40,null,null
2024-01-01 00:00:00,586.75,C$586.75,null,null
2024-02-28 00:00:00,506.18,C$506.18,Today,Today\
2024-08-28 00:00:00,527.03,C$527.03,Estimate,Estimated value of this set
2025-08-28 00:00:00,527.03,C$527.03,null,null
2026-02-28 00:00:00,527.03,C$527.03,null,null
