Date,Value,Currency Value,Status,Description
1987-01-01 00:00:00,10.13,C$10.13,Released,Set was released
1988-07-01 00:00:00,15.26,C$15.26,null,null
1989-01-01 00:00:00,27.32,C$27.32,null,null
1989-07-01 00:00:00,71.0,C$71.00,null,null
1990-01-01 00:00:00,69.71,C$69.71,null,null
1990-07-01 00:00:00,52.65,C$52.65,null,null
1991-01-01 00:00:00,120.88,C$120.88,null,null
1991-07-01 00:00:00,95.26,C$95.26,null,null
1992-01-01 00:00:00,82.45,C$82.45,null,null
1992-07-01 00:00:00,188.72,C$188.72,null,null
1993-01-01 00:00:00,191.63,C$191.63,null,null
1993-07-01 00:00:00,140.47,C$140.47,null,null
1994-01-01 00:00:00,160.4,C$160.40,null,null
1994-07-01 00:00:00,231.48,C$231.48,null,null
1995-01-01 00:00:00,279.24,C$279.24,null,null
1995-07-01 00:00:00,244.74,C$244.74,null,null
1996-01-01 00:00:00,167.35,C$167.35,null,null
1996-07-01 00:00:00,332.13,C$332.13,null,null
1997-01-01 00:00:00,360.03,C$360.03,null,null
1997-07-01 00:00:00,223.88,C$223.88,null,null
1998-01-01 00:00:00,262.96,C$262.96,null,null
1998-07-01 00:00:00,225.84,C$225.84,null,null
1999-01-01 00:00:00,293.16,C$293.16,null,null
1999-07-01 00:00:00,259.25,C$259.25,null,null
2000-01-01 00:00:00,428.47,C$428.47,null,null
2000-07-01 00:00:00,490.82,C$490.82,null,null
2001-01-01 00:00:00,406.01,C$406.01,null,null
2001-07-01 00:00:00,340.31,C$340.31,null,null
2002-01-01 00:00:00,473.33,C$473.33,null,null
2002-07-01 00:00:00,493.78,C$493.78,null,null
2003-01-01 00:00:00,572.66,C$572.66,null,null
2003-07-01 00:00:00,383.36,C$383.36,null,null
2004-01-01 00:00:00,378.44,C$378.44,null,null
2004-07-01 00:00:00,528.99,C$528.99,null,null
2005-01-01 00:00:00,652.47,C$652.47,null,null
2005-07-01 00:00:00,344.02,C$344.02,null,null
2006-01-01 00:00:00,407.22,C$407.22,null,null
2007-01-01 00:00:00,594.95,C$594.95,null,null
2008-01-01 00:00:00,537.45,C$537.45,null,null
2009-01-01 00:00:00,769.14,C$769.14,null,null
2010-01-01 00:00:00,456.64,C$456.64,null,null
2011-01-01 00:00:00,850.91,C$850.91,null,null
2012-01-01 00:00:00,550.89,C$550.89,null,null
2013-01-01 00:00:00,848.84,C$848.84,null,null
2014-01-01 00:00:00,718.75,C$718.75,null,null
2015-01-01 00:00:00,738.72,C$738.72,null,null
2016-01-01 00:00:00,655.53,C$655.53,null,null
2017-01-01 00:00:00,1126.01,"C$1,126.01",null,null
2018-01-01 00:00:00,1053.76,"C$1,053.76",null,null
2019-01-01 00:00:00,720.06,C$720.06,null,null
2020-01-01 00:00:00,824.39,C$824.39,null,null
2021-01-01 00:00:00,1153.76,"C$1,153.76",null,null
2022-01-01 00:00:00,842.11,C$842.11,null,null
2023-01-01 00:00:00,766.35,C$766.35,null,null
2024-01-01 00:00:00,864.72,C$864.72,null,null
2024-02-28 00:00:00,1096.08,"C$1,096.08",Today,Today\
2024-08-28 00:00:00,1133.37,"C$1,133.37",Estimate,Estimated value of this set
2025-08-28 00:00:00,1133.37,"C$1,133.37",null,null
2026-02-28 00:00:00,1133.37,"C$1,133.37",null,null
