Date,Value,Currency Value,Status,Description
1979-01-01 00:00:00,4.04,C$4.04,Released,Set was released
1982-01-01 00:00:00,19.34,C$19.34,null,null
1984-01-01 00:00:00,76.33,C$76.33,null,null
1986-01-01 00:00:00,80.51,C$80.51,null,null
1988-01-01 00:00:00,100.55,C$100.55,null,null
1990-01-01 00:00:00,137.1,C$137.10,null,null
1992-01-01 00:00:00,209.05,C$209.05,null,null
1994-01-01 00:00:00,201.09,C$201.09,null,null
1996-01-01 00:00:00,331.99,C$331.99,null,null
1998-01-01 00:00:00,180.1,C$180.10,null,null
2000-01-01 00:00:00,366.37,C$366.37,null,null
2002-01-01 00:00:00,278.17,C$278.17,null,null
2004-01-01 00:00:00,405.49,C$405.49,null,null
2006-01-01 00:00:00,327.54,C$327.54,null,null
2008-01-01 00:00:00,575.95,C$575.95,null,null
2010-01-01 00:00:00,615.63,C$615.63,null,null
2012-01-01 00:00:00,356.46,C$356.46,null,null
2014-01-01 00:00:00,630.96,C$630.96,null,null
2016-01-01 00:00:00,434.03,C$434.03,null,null
2018-01-01 00:00:00,559.48,C$559.48,null,null
2020-01-01 00:00:00,752.29,C$752.29,null,null
2022-01-01 00:00:00,507.26,C$507.26,null,null
2024-01-01 00:00:00,699.21,C$699.21,null,null
2024-02-28 00:00:00,733.67,C$733.67,Today,Today\
2024-08-28 00:00:00,763.67,C$763.67,Estimate,Estimated value of this set
2025-08-28 00:00:00,763.67,C$763.67,null,null
2026-02-28 00:00:00,763.67,C$763.67,null,null
